Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Guam,GUM,GDP (constant LCU),NY.GDP.MKTP.KN,5354000000,5450000000,5495000000,5505000000,5554000000,5510000000,5653000000,5009000000,5062000000,..
Guatemala,GTM,GDP (constant LCU),NY.GDP.MKTP.KN,416383221000,434887198000,452683525000,464805496000,479120815000,495443854600,515273078600,506183234200,546580551400,..
Guinea,GIN,GDP (constant LCU),NY.GDP.MKTP.KN,45629521110000,47316240594700,49126517644700,54442314973700,60049876324700,63868142863200,67455561820700,70774555145300,73534762795900,..
Guinea-Bissau,GNB,GDP (constant LCU),NY.GDP.MKTP.KN,400296766800,404157872300,428949251400,455813509300,482793916000,488991718700,510996346000,498732433700,517684278282.672,..
Guyana,GUY,GDP (constant LCU),NY.GDP.MKTP.KN,860662000000,875173000000,881190000000,914745000000,948905000000,991046000000,1044093000000,1498060000000,1798571000000,..
Haiti,HTI,GDP (constant LCU),NY.GDP.MKTP.KN,594643442800,604886566200,620386837900,631631151300,647486807100,658285663000,647196215100,625558034100,614309000000,..
Honduras,HND,GDP (constant LCU),NY.GDP.MKTP.KN,177634300000,183066500000,190096400000,197496800000,207061400000,215022900000,220727600000,200939900000,226125900000,..
"Hong Kong SAR, China",HKG,GDP (constant LCU),NY.GDP.MKTP.KN,2537377000000,2607470000000,2669732000000,2727810000000,2831361000000,2911968000000,2863098000000,2675708000000,2845431000000,..
Hungary,HUN,GDP (constant LCU),NY.GDP.MKTP.KN,32346317000000,33715281000000,34965213000000,35734798000000,37261380000000,39259459000000,41166602000000,39294648000000,42091372000000,..
Iceland,ISL,GDP (constant LCU),NY.GDP.MKTP.KN,2175965459000,2212678675000,2310847787000,2456516401000,2559566007000,2684698025000,2749545727000,2561413669000,2674193860000,..
India,IND,GDP (constant LCU),NY.GDP.MKTP.KN,98013698221800,105276736344200,113694931359600,123081932232700,131445821447400,139929139362800,145159576577300,135584734020400,147355154904800,..
Indonesia,IDN,GDP (constant LCU),NY.GDP.MKTP.KN,8.1564978E+15,8.5648666E+15,8.9825171E+15,9.4346134E+15,9.9129281E+15,1.04258519E+16,1.09491554E+16,1.07230548E+16,1.11188685E+16,..
"Iran, Islamic Rep.",IRN,GDP (constant LCU),NY.GDP.MKTP.KN,1.27952219436114E+16,1.3433034976836E+16,1.32416296845501E+16,1.44088908141246E+16,1.48063608230922E+16,1.4472645645E+16,1.40879328143038E+16,1.45571016149677E+16,1.52441644553532E+16,..
Iraq,IRQ,GDP (constant LCU),NY.GDP.MKTP.KN,174990638800000,175335399600000,183616252100000,208932109700000,205130066900000,210532887200000,222141229692600,196985514200000,202468281819200,..
Ireland,IRL,GDP (constant LCU),NY.GDP.MKTP.KN,194612911000,211445664000,262975914000,268252931000,292410026000,317345412000,334611977000,355306182000,403586064000,..
Isle of Man,IMN,GDP (constant LCU),NY.GDP.MKTP.KN,4427053000,4655281000,4637321000,4959722000,5192274000,5307200000,5320726000,..,..,..
Israel,ISR,GDP (constant LCU),NY.GDP.MKTP.KN,1107318701000,1150715926000,1179320725000,1232645838000,1285361120000,1337679455000,1393275259000,1367398107000,1485158300000,..
Italy,ITA,GDP (constant LCU),NY.GDP.MKTP.KN,1642645500000,1642570800000,1655355000000,1676766400000,1704732500000,1720515100000,1728828600000,1572543300000,1678489900000,..
Jamaica,JAM,GDP (constant LCU),NY.GDP.MKTP.KN,841521000000,847326000000,855134000000,866894000000,875538000000,892085000000,900045000000,810040500000,847302363000,..
Japan,JPN,GDP (constant LCU),NY.GDP.MKTP.KN,528200093617000,529764651420000,538032300000000,542088131379000,551169905966000,554389113383000,553056634487000,528130899906000,536882404510000,..
Jordan,JOR,GDP (constant LCU),NY.GDP.MKTP.KN,26206676544.7143,27093530949.0124,27769928723.7616,28323711315.6694,29024326220.903,29581323662.7586,30151465819.6033,29678246595.6745,30339519008.3664,..
Kazakhstan,KAZ,GDP (constant LCU),NY.GDP.MKTP.KN,12246252793400,12760595410800,12913722555700,13055773503800,13591060217500,14148293686400,14784966902300,14415342729742.5,15035202467121.4,..
Kenya,KEN,GDP (constant LCU),NY.GDP.MKTP.KN,6610312000000,6942157000000,7287024000000,7594064000000,7885521000000,8330891000000,8756946000000,8735040000000,9391684000000,..
Kiribati,KIR,GDP (constant LCU),NY.GDP.MKTP.KN,162448100,160667200,176517300,175673200,175243400,184486000,183490500,182486800,185224100,..
"Korea, Dem. People's Rep.",PRK,GDP (constant LCU),NY.GDP.MKTP.KN,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,GDP (constant LCU),NY.GDP.MKTP.KN,1.5626736E+15,1.6127175E+15,1.6580204E+15,1.7068803E+15,1.7608115E+15,1.8120054E+15,1.8526664E+15,1.8395233E+15,1.9157775E+15,..
Kosovo,XKX,GDP (constant LCU),NY.GDP.MKTP.KN,4441886900,4590637000,4862231500,5133143200,5380852800,5564158600,5828836200,5517560300,6110455900,..
Kuwait,KWT,GDP (constant LCU),NY.GDP.MKTP.KN,39111400000,39307300000,39540400000,40697300000,38779600000,39723488199.9194,39504230717.3478,36006020900.7473,..,..
Kyrgyz Republic,KGZ,GDP (constant LCU),NY.GDP.MKTP.KN,258753893000,269166249600,279598663600,291721658800,305549082300,317031342200,331616767500,303766383300,314734210900,..
Lao PDR,LAO,GDP (constant LCU),NY.GDP.MKTP.KN,88160112762500,94870828315300,101768000000000,108915000000000,116422000000000,123696000000000,130447000000000,131103189930900,134417938745900,..
Latvia,LVA,GDP (constant LCU),NY.GDP.MKTP.KN,23211615000,23653140000,24572126000,25154145000,25987370000,27024748000,27719204000,27108554000,28211350000,..
Lebanon,LBN,GDP (constant LCU),NY.GDP.MKTP.KN,62251191300700,63797548309000,64092497639500,65088847183100,65597851081050,64481260985695.7,59866177823108.3,47054875680362.1,43760451203242.1,..
Lesotho,LSO,GDP (constant LCU),NY.GDP.MKTP.KN,20711568900,21065849400,21724696000,22507958200,21801619100,21817215700,22019571100,20179528600,20451472600,..
