country,rank,score,landAreaKm,latitude,longitude
Ethiopia,163,11.0,1128571.3,9.145,40.489673
Liberia,164,9.9,96320.0,6.428055,-9.429499
Mali,165,8.3,1220190.0,17.570692,-3.996166
Cameroon,166,7.8,472710.0,7.369722,12.354722
Burkina Faso,167,7.8,273600.0,12.238333,-1.561593
Lesotho,168,7.3,30360.0,-29.609988,28.233608
Guinea-Bissau,169,6.8,28120.0,11.803749,-15.180413
Eritrea,170,6.4,121040.8,15.179384,39.782334
Madagascar,171,6.0,581800.0,-18.766947,46.869107
Burundi,172,5.4,25680.0,-3.373056,29.918886
Togo,173,5.2,54390.0,8.619543,0.824782
Nigeria,174,5.0,910770.0,9.081999,8.675277
Niger,175,1.5,1266700.0,17.607789,8.081666
Chad,176,,1259200.0,15.454166,18.732207
Central African Republic,177,,622980.0,6.611111,20.939444
