country,rank,score,landAreaKm,latitude_x,longitude_x,2020 [YR2020],2013 [YR2013],latitude_y,longitude_y
Tanzania,138,18.5,885800.0,-6.369028,34.888822,122515769000000,83268117227300,-6.369028,34.888822
Djibouti,139,18.3,23180.0,11.825138,42.590275,528399875500,363051509000,11.825138,42.590275
Uganda,140,17.6,200520.0,1.373333,32.290275,126410412147000,90830994796400,1.373333,32.290275
Pakistan,141,17.5,770880.0,30.375321,69.345116,36710346000000,28287865663900,30.375321,69.345116
Zimbabwe,143,16.9,386850.0,-19.015438,29.154857,195588824400,198385196700,-19.015438,29.154857
Rwanda,144,16.9,24670.0,-1.940278,29.873888,8837570000000,6042255000000,-1.940278,29.873888
Mozambique,145,16.4,786380.0,-18.665695,35.529562,667425038100,517183445500,-18.665695,35.529562
Kiribati,146,16.3,810.0,-3.370417,-168.734039,182486800,162448100,-3.370417,-168.734039
Papua New Guinea,147,15.6,452860.0,-6.314993,143.95555,63632900000,47721285900,-6.314993,143.95555
Comoros,148,15.2,1861.0,-11.875001,43.872219,416410123000,357104359900,-11.875001,43.872219
Haiti,150,14.1,27560.0,18.971187,-72.285215,625558034100,594643442800,18.971187,-72.285215
Solomon Islands,151,14.1,27990.0,-9.64571,160.156194,10373000000,9174100000,-9.64571,160.156194
Kenya,152,13.7,569140.0,-0.023559,37.906193,8735040000000,6610312000000,-0.023559,37.906193
Mauritania,154,13.6,1030700.0,21.00789,-10.940835,247322735300,191390974100,21.00789,-10.940835
Zambia,155,13.5,743390.0,-13.133897,27.849332,137755024600,116007000000,-13.133897,27.849332
Benin,156,13.5,112760.0,9.30769,2.315834,8705900000000,6219754000000,9.30769,2.315834
Senegal,157,13.1,192530.0,14.497401,-14.452362,13371858188100,9202282111400,14.497401,-14.452362
Angola,158,12.8,1246700.0,-11.202692,17.873887,1467548311982.28,1541424093800,-11.202692,17.873887
Malawi,160,12.1,94280.0,-13.254308,34.301525,7247031000000,5639450256400,-13.254308,34.301525
Sierra Leone,161,11.6,72180.0,8.460555,-11.779889,10007747000000,10218610735500,8.460555,-11.779889
Guinea,162,11.3,245720.0,9.945587,-9.696645,70774555145300,45629521110000,9.945587,-9.696645
Ethiopia,163,11.0,1128571.3,9.145,40.489673,2109180096000,1177267871000,9.145,40.489673
Liberia,164,9.9,96320.0,6.428055,-9.429499,3332802700,3428690700,6.428055,-9.429499
Mali,165,8.3,1220190.0,17.570692,-3.996166,5354095698100,3898327347500,17.570692,-3.996166
Cameroon,166,7.8,472710.0,7.369722,12.354722,22376407504600,17159555130700,7.369722,12.354722
Burkina Faso,167,7.8,273600.0,12.238333,-1.561593,9040341790600,6452183014400,12.238333,-1.561593
Lesotho,168,7.3,30360.0,-29.609988,28.233608,20179528600,20711568900,-29.609988,28.233608
Guinea-Bissau,169,6.8,28120.0,11.803749,-15.180413,498732433700,400296766800,11.803749,-15.180413
Eritrea,170,6.4,121040.8,15.179384,39.782334,..,..,15.179384,39.782334
Madagascar,171,6.0,581800.0,-18.766947,46.869107,20319145167900,17629639326200,-18.766947,46.869107
Burundi,172,5.4,25680.0,-3.373056,29.918886,1785541020062.4,1719098749500,-3.373056,29.918886
Togo,173,5.2,54390.0,8.619543,0.824782,4201540000000,3023246325700,8.619543,0.824782
Nigeria,174,5.0,910770.0,9.081999,8.675277,70800543492000,63942845560000,9.081999,8.675277
Niger,175,1.5,1266700.0,17.607789,8.081666,7476271698200,5142722860800,17.607789,8.081666
Chad,176,,1259200.0,15.454166,18.732207,5319042000000,5118799500000,15.454166,18.732207
Central African Republic,177,,622980.0,6.611111,20.939444,770488883000,624148000000,6.611111,20.939444
